Year,Type,Country,Area,Activity,Sex,Age,Injury,Fatal (Y/N),Species,outlier
1906.0,0.0,usa,mississippi,swimming,1.0,24.0,fatal,1.0,fishermen recovered partial remains from shark a week later,1
1905.0,0.0,south africa,kwazulu-natal,floating or standing,1.0,24.0,"fatal, left torso, buttocks, thigh & foot bitten",1.0,2.4 m [8'] shark,1
1905.0,0.0,philippines,luzon island,bathing,1.0,21.0,leg bitten,0.0,unknown,1
1905.0,0.0,australia,new south wales,bathing,1.0,40.0,righ thigh severely bitten,0.0,5' shark,1
1904.0,0.0,philippines,quezon,bathing,1.0,24.0,left arm bitten,0.0,unknown,1
1902.0,1.0,south africa,kwazulu-natal,unknown,1.0,24.0,possible drowning & scavenging. remains were recovered from a 15' shark's gut,0.0,questionable,1
1900.0,0.0,australia,queensland,swimming,1.0,24.0,laceration to right leg,0.0,unknown,1
1899.0,0.0,usa,florida,swimming,1.0,15.0,fatal,1.0,3 m [10'] shark,-1
1898.0,0.0,jamaica,kingston parish,trailing hand in the water,0.0,24.0,"hand lacerated, 2 fingers severed",0.0,unknown,1
1896.0,0.0,australia,new south wales,bathing,1.0,11.0,fatal,1.0,unknown,-1
1892.0,0.0,atlantic ocean,unknown,fell overboard,1.0,15.0,fatal,1.0,unknown,-1
1890.0,0.0,persian gulf,unknown,fell overboard,1.0,24.0,severe lacerations to foot,0.0,unknown,1
1890.0,0.0,australia,tasmania,wading,1.0,24.0,knee bitten,0.0,"sevengill shark, 14', was caught in the vicinity",1
1889.0,0.0,usa,texas,fishing,1.0,24.0,leg bitten,0.0,18' shark,1
1887.0,0.0,honduras,cortés,fell oveboard from steamer wanderer,1.0,33.0,fatal,1.0,unknown,-1
1886.0,0.0,australia,queensland,oystering,1.0,24.0,wrist bitten,0.0,unknown,1
1883.0,0.0,uruguay,maldonado coast,fell overboard & rescuer,1.0,24.0,fatal,1.0,unknown,1
1880.0,1.0,usa,new york,sailing,1.0,24.0,"shark bit stern, no injury to occupant",0.0,10' shark,1
1878.0,1.0,south atlantic ocean,off the coast of west africa,boat with 5 men capsized while returning to the amerique,1.0,24.0,"fatal, 2 of the crew were killed by sharks",1.0,unknown,1
1874.0,0.0,usa,hawaii,fishing,1.0,24.0,thumb & thigh lacerated,0.0,unknown,1
1870.0,0.0,india,"22ºn, 88ºe",bathing,1.0,40.0,"left arm bitten, developed gangrene, surgically amputated",0.0,unknown,-1
1860.0,1.0,canada,nova scotia,gloucester fishing schooner run down,1.0,24.0,fatal x 2,1.0,unknown,-1
1855.0,1.0,usa,north carolina,ship william penn grounded & broke apart,1.0,24.0,foot bitten,0.0,unknown,-1
1835.0,0.0,tasman sea,35º39 : 165º8',hooking into a whale,1.0,24.0,savagely bitten but apparently survived,0.0,unknown,-1
1802.0,0.0,india,unknown,unknown,0.0,24.0,fatal,1.0,unknown,-1
2023.0,0.0,egypt,red sea protectorate,swimming,1.0,24.0,fatal,1.0,"tiger shark, 13'",1
2023.0,0.0,usa,florida,kite-surfing,1.0,67.0,lacertions to right calf,0.0,unknown,1
2022.0,1.0,usa,louisiana,fishing,1.0,40.0,minor injuries to hands,0.0,unknown,1
2022.0,0.0,australia,south australia,surf skiing,1.0,19.0,"no injury, ski holed by shark",0.0,3m shark,1
2021.0,0.0,new zealand,south island,swimming,0.0,9.0,laceration to big toe,0.0,unknown,1
2021.0,0.0,usa,florida,surfing,1.0,24.0,minor injury to right arm,0.0,unknown,1
2021.0,0.0,australia,queensland,harassing sharks,1.0,24.0,"no injury, jet ski bitten provoked incident",0.0,unknown,1
2021.0,0.0,usa,florida,fishing,1.0,47.0,hands bitten while attempting to unhook shark               provoked incident,0.0,unknown,1
2021.0,0.0,south africa,eastern cape province,surfing,1.0,38.0,injuries to leg and torso,0.0,unknown,1
2021.0,0.0,australia,western australia,spearfishing,1.0,48.0,lacerations to right hand and forearm,0.0,unknown,1
2021.0,0.0,australia,new south wales,surfing,1.0,59.0,fatal,1.0,"white shark, 4.5 m",1
2021.0,0.0,usa,florida,unknown,1.0,24.0,cuts to both feet,0.0,unknown,1
2021.0,0.0,australia,new south wales,swimming,1.0,58.0,severe lacerations to left arm,0.0,unknown,1
2020.0,1.0,usa,south carolina,wading,0.0,24.0,minor injury to arm by a fish,0.0,unknown,1
2020.0,0.0,australia,queensland,snorkeling,0.0,29.0,injury to lower left leg and ankle,0.0,2 m shark,1
2020.0,0.0,australia,queensland,spearfishing,1.0,18.0,"no injury, swim fin bitten",0.0,bull shark,1
2020.0,2.0,australia,western australia,swimming after being swept off rocks,1.0,21.0,probable drowning and scavenging,1.0,unknown,1
2019.0,1.0,usa,california,kayaking,1.0,51.0,"no injury, shark bit kayak",0.0,white shark,1
2019.0,0.0,usa,georgia,swimming,1.0,64.0,arc of lacerations to bicep,0.0,"bull shark, 4' to 5'",1
2019.0,1.0,south africa,kwazulu-natal,fishing,1.0,24.0,"no  injury to occupants, shark bit pontoon causing it to deflate.",0.0,unknown,1
2019.0,0.0,usa,florida,spearfishing,1.0,50.0,right wrist and hand injured,0.0,bull shark,1
2018.0,0.0,australia,western australia,surfing,1.0,24.0,knocked off board by a  shark.   no injury,0.0,unknown,1
2018.0,0.0,australia,new south wales,body surfing,1.0,50.0,injury to upper right arm,0.0,bull shark?,1
2018.0,0.0,usa,california,diving,1.0,13.0,traumatic injuries to upper torso,0.0,"white shark, 11'",1
2017.0,0.0,usa,california,spearfishing,1.0,25.0,right leg bitten,0.0,"white shark, 4.6 m",1
2017.0,1.0,new zealand,north island,kayaking,1.0,24.0,"no injury, shark shook kayak x3",0.0,2 m shark,1
2017.0,0.0,egypt,red sea protectorate,snorkeling,0.0,20.0,bite to right leg/hip,0.0,"oceanic whitetip shark, 1.8 to 2 m",1
2017.0,0.0,usa,florida,surfing,0.0,24.0,lacerations to right foot,0.0,unknown,1
2016.0,0.0,south africa,western cape province,surf skiing,1.0,55.0,"no injury, but ski severely damaged",0.0,"white shark, 4 m",1
2016.0,0.0,usa,florida,surfing,1.0,42.0,lacerations to right hand,0.0,unknown,1
2016.0,0.0,australia,tasmania,surfing,1.0,36.0,calf bumped but no injury,0.0,unknown,1
2016.0,0.0,usa,florida,teasing a shark,0.0,23.0,arm grabbed provoked incident,0.0,"nurse shark, 2'",1
2016.0,0.0,indonesia,bali,surfing,1.0,24.0,elbow bitten,0.0,"bull shark, 6'",1
2016.0,1.0,cape verde,boa vista island,unknown,1.0,60.0,serious,0.0,shark involvement not confirmed,1
2016.0,1.0,united arab emirates,fujairah emirate,fishing,1.0,24.0,"no injury to occupants, shark leapt into boat",0.0,mako shark,1
2015.0,0.0,usa,florida,wading,1.0,12.0,significant injuries to leg,0.0,4' shark,1
2015.0,0.0,thailand,phuket,wading,0.0,37.0,left foot & ankle bitten,0.0,small shark,1
2015.0,0.0,usa,north carolina,unknown,1.0,32.0,lacerations to right hand & forearm,0.0,unknown,1
2015.0,0.0,australia,south australia,surfing,1.0,26.0,leg severed at mid-thigh,0.0,"white shark, 6 m",1
2015.0,1.0,atlantic ocean,unknown,transatlantic rowing,0.0,24.0,"no injury, shark bit rudder",0.0,white shark,1
2014.0,0.0,usa,california,surfing,1.0,50.0,injury to hip/leg,0.0,"white shark, 8' to 10'",1
2014.0,0.0,australia,queensland,spearfishing,1.0,17.0,fatal,1.0,tiger shark,1
2014.0,1.0,usa,california,canoeing,0.0,24.0,"no injury to occupant, canoe bitten",0.0,unknown,1
2014.0,0.0,usa,north carolina,surfing,1.0,29.0,laceration to left hand,0.0,4' to 6' shark,1
2014.0,0.0,australia,western australia,petting a shark,1.0,24.0,lacerations to right hand by captive shark provoked incident,0.0,"lemon shark, 3.5 m",1
2014.0,0.0,south africa,western cape province,diving,0.0,24.0,4-inch laceration to arm,0.0,cow shark,1
2014.0,0.0,usa,florida,kite surfing,1.0,24.0,lacerations to left forearm,0.0,4' to 5' shark,1
2014.0,0.0,french polynesia,society islands,kitesurfing,1.0,21.0,lacerations to lower leg,0.0,blacktip reef shark,1
2013.0,0.0,australia,new south wales,surfing,1.0,26.0,"puncture wounds to hand, laceration to leg",0.0,"wobbegong shark, 1.6 to 1.8m",1
2013.0,0.0,australia,western australia,surfing,1.0,24.0,"no injury, board bumped by shark",0.0,reported to involve a white shark,1
2013.0,0.0,usa,south carolina,swimming,1.0,32.0,foot bitten,0.0,unknown,1
2013.0,0.0,usa,florida,playing in the surf,1.0,9.0,lacerations to right foot,0.0,3' shark,1
2013.0,0.0,bahamas,eleuthera,fly fishing,1.0,50.0,left foot bitten,0.0,unknown,1
2013.0,0.0,new zealand,mercury islands,spearfishing,1.0,24.0,minor cut on finger,0.0,"bronze whaler shark, 3m",1
2012.0,1.0,usa,florida,unknown,1.0,24.0,laceration to toe,0.0,shark involvement not confirmed,1
2012.0,0.0,usa,massachusetts,body surfing,1.0,50.0,lacerations to both legs below the knees,0.0,thought to involve a white shark,1
2012.0,0.0,usa,hawaii,sitting in the water,0.0,16.0,laceration to left calf,0.0,a small reef shark,1
2012.0,0.0,usa,florida,surfing,0.0,15.0,bitten on ankle,0.0,4' to 5' shark,1
2011.0,0.0,usa,south carolina,jumping in the waves,1.0,5.0,laceration to left thigh,0.0,unknown,-1
2011.0,0.0,papua new guinea,central province,kite surfing,1.0,30.0,lacerations to right leg,0.0,"tiger shark, 2m",1
2011.0,0.0,usa,florida,spearfishing,1.0,32.0,calf bitten,0.0,"bull shark, 12'",1
2010.0,0.0,south korea,jeju province,swimming,0.0,16.0,lacerations to left lower leg,0.0,unknown,1
2010.0,0.0,south africa,kwazulu-natal,snorkeling,0.0,21.0,left leg bitten,0.0,unknown,1
2010.0,0.0,vietnam,binh dinh province,swimming,1.0,17.0,laceration to left foot,0.0,1 m shark,1
2010.0,0.0,usa,florida,surfing,1.0,20.0,lacerations to left foot,0.0,unknown,1
2010.0,0.0,australia,queensland,snorkeling,0.0,60.0,lacerations to legs & buttocks,0.0,2 m shark,1
2009.0,1.0,usa,california,surfing,1.0,49.0,puncture wounds to right foot,0.0,shark involvement not confirmed,1
2009.0,0.0,usa,california,surfing,1.0,24.0,laceration to shin of left leg,0.0,unknown,1
2009.0,0.0,usa,florida,swimming,1.0,24.0,laceration to right foot,0.0,"bull shark, 8'",1
2009.0,1.0,nevis,unknown,swimming,1.0,24.0,death was due to drowning. two days later his remains were recovered from a 12' tiger shark,0.0,invalid,1
2009.0,0.0,vietnam,binh dinh province,swimming,0.0,41.0,foot bitten,0.0,unknown,1
2009.0,0.0,usa,florida,surfing,1.0,55.0,lacerations to right hand,0.0,blacktip or spinner shark,1
2009.0,0.0,usa,florida,surfing,1.0,52.0,left foot bitten,0.0,unknown,1
2009.0,0.0,australia,new south wales,swimming,1.0,19.0,hand injured,0.0,unknown,1
2008.0,0.0,philippines,luzon,fishing,1.0,39.0,torso & righ arm bitten fatal,1.0,unknown,1
2008.0,0.0,australia,new south wales,surfing,1.0,51.0,shark became tangled in his surfboard leash. the surfer was not injured,0.0,3 m shark,1
2008.0,0.0,australia,new south wales,surfing,1.0,29.0,"no injury, bumped off board by the shark",0.0,unknown,1
2008.0,0.0,mexico,guerro,surfing,1.0,49.0,lacerations to right forearm and hand,0.0,3 m shark,1
2008.0,0.0,fiji,yasawa islands,night diving,1.0,28.0,fatal,1.0,unknown,1
2008.0,0.0,usa,florida,surfing,1.0,25.0,lacerations to foot,0.0,unknown,1
2007.0,0.0,usa,florida,swimming,1.0,58.0,3 laceration to left forearm,0.0,possibly a spinner shark,1
2007.0,0.0,usa,florida,surfing,1.0,20.0,6 to 8 puncture wounds to right hand,0.0,4' shark,1
2007.0,1.0,costa rica,unknown,swimming,1.0,36.0,death due to drowning. shark bite may have been postmortem,0.0,shark involvement prior to death was not confirmed,1
2007.0,1.0,australia,new south wales,swimming,1.0,20.0,shark involvement prior to death unconfirmed,0.0,shark involvement prior to death was not confirmed,1
2006.0,0.0,new zealand,north island,surfing,1.0,10.0,foot bitten,0.0,2 to 3 m shark,1
2006.0,0.0,usa,florida,wading,1.0,40.0,dorsum of left foot bitten,0.0,unknown,1
2005.0,0.0,usa,hawaii,swimming,1.0,29.0,left hand bitten,0.0,tiger shark,1
2005.0,0.0,usa,south carolina,swimming,1.0,8.0,bitten underneath left arm,0.0,possibly a sandbar shark or small blacktip shark,1
2005.0,0.0,china,shanghai,scuba diving in aquarium tank,1.0,24.0,2 small cuts on right ear & head when he collided with the captive shark. provoked incident,0.0,3.5 m [11.5']shark,1
2004.0,0.0,vanuatu,malampa province,snorkeling,1.0,24.0,thigh bitten,0.0,unknown,1
2004.0,0.0,australia,western australia,surfing,1.0,24.0,no inury,0.0,unknown,1
2003.0,0.0,usa,florida,surfing,1.0,30.0,left foot: lacerations on heel and sole,0.0,3' shark,1
2003.0,0.0,usa,texas,fishing,1.0,24.0,provoked incident hooked shark pulled onboard bit his arm,0.0,1.2 m [4'] bull shark,1
2003.0,0.0,brazil,pernambuco,surfing,1.0,17.0,"hand & foot lacerated,  lower left leg severely bitten, necessitating surgical amputation",0.0,bull shark,1
2003.0,0.0,venezuela,nueva esparta,surfing,1.0,28.0,"right foot bitten, left leg severed",0.0,"mako shark, 3 m [10']",1
2003.0,0.0,new zealand,southland,scuba diving,1.0,44.0,arm lacerated (shark made 3 strikes),0.0,2.5 m [8.25'] white shark,1
2002.0,0.0,turks & caicos,caicos bank,snorkeling,0.0,41.0,"right upper am, shoulder & back severely  bitten",0.0,1.8 m to 2.1 m [6' to 7']  caribbean reef shark,1
2001.0,0.0,usa,florida,boogie boarding,1.0,24.0,"2 lacerations on lower back, punctures on buttock",0.0,2' to 3.5' shark,1
2001.0,0.0,usa,florida,surfing,0.0,17.0,left foot lacerated,0.0,unknown,1
2001.0,0.0,bahamas,grand bahama island,swimming,1.0,36.0,"leg bitten, later surgically amputated above the knee",0.0,unknown,1
2001.0,0.0,usa,florida,surfing,1.0,22.0,foot lacerated,0.0,possibly a 1.5 m [5'] blacktip or spinner shark,1
2000.0,0.0,usa,california,surfing,1.0,27.0,both thighs bitten,0.0,"white shark, 2.4 m to 3 m [8' to 10']",1
2000.0,0.0,usa,florida,surfing,1.0,17.0,foot lacerated,0.0,2.1 to 2.4 m [7' to 8'] shark,1
2000.0,0.0,tonga,minerva reef,scuba diving,1.0,69.0,left arm bitten,0.0,"grey reef shark, 2 m [6.75']",1
2000.0,0.0,papua new guinea,madang province,unknown,1.0,24.0,fatal,1.0,unknown,1
2000.0,0.0,usa,florida,standing,1.0,52.0,right ankle lacerated,0.0,unknown,1
1999.0,1.0,usa,california,scuba diving,1.0,24.0,"presumed taken by a shark,  but forensic evidence suggested otherwise.",0.0,shark involvement not confirmed,1
1999.0,0.0,marshall islands,alinglaplap atoll,swimming,1.0,12.0,lacerations to leg,0.0,"grey reef shark, 1.2 m [4']",1
1999.0,0.0,south africa,western cape province,spearfishing,1.0,30.0,heel lacerated,0.0,"white shark, 4.6 m [15']",1
1998.0,0.0,mozambique,maputo province,surfing,1.0,23.0,leg bitten,0.0,small dusky shark or blackfin shark,1
1996.0,0.0,brazil,pernambuco,unknown,0.0,24.0,survived,0.0,unknown,1
1996.0,0.0,usa,florida,unknown,1.0,18.0,right foot bitten,0.0,unknown,1
1996.0,0.0,usa,missouri,swimming in fish tank,0.0,32.0,5 punctures to hand from captive shark provoked incident,0.0,nurse shark,1
1995.0,0.0,usa,florida,surfing,1.0,18.0,4 puncture wounds on right pinky finger,0.0,a small shark,1
1995.0,0.0,usa,florida,body boarding,1.0,12.0,multiple bites on right leg and knee,0.0,1.2 m to 1.5 m [4' to 5'] shark,1
1995.0,1.0,tonga,vava’u,fishing,1.0,24.0,finger broken when 1.8 m [6'] hooked grey reef shark  grabbed his catch,0.0,invalid,1
1995.0,0.0,usa,mississippi,fishing,0.0,32.0,minor laceration to leg from a hooked shark provoked incident,0.0,blacktip shark,1
1994.0,0.0,usa,hawaii,"surfing, sitting on board",0.0,24.0,"no injury, shark bit surfboard",0.0,unknown,1
1994.0,1.0,usa,unknown,unknown,1.0,24.0,sharks took some of the crew,1.0,unknown,1
1994.0,0.0,brazil,pernambuco,surfing,1.0,24.0,fatal,1.0,unknown,1
1994.0,0.0,usa,florida,surfing,1.0,24.0,foot lacerated,0.0,unknown,1
1994.0,0.0,south africa,western cape province,spearfishing,1.0,24.0,swim fin bitten,0.0,3 m [10'] shark,1
1993.0,0.0,el salvador,la libertad,surfing,1.0,17.0,"fatal, arms & legs bitten, then drowned",1.0,unknown,1
1993.0,0.0,australia,new south wales,scuba diving,1.0,31.0,fatal,1.0,remains recovered from 5.5 m [18'] white shark,1
1992.0,1.0,usa,hawaii,"zosimo & his son, jeffrey popa, failed to return from overnight fishing trip in a 14' boat, boat apparently sank, debris recovered but his son & boat were never found",1.0,24.0,"death due to drowning. his body, tied to floating ice chest, had 2 small post-mortem bites due to cookie cutter shark",0.0,invalid,1
1992.0,0.0,vanuatu,malampa province,swimming,0.0,21.0,right leg was bitten above and below the knee and an artery was punctured,0.0,unknown,1
1992.0,0.0,reunion,saint-paul,diving,0.0,24.0,survived,0.0,mako shark,1
1991.0,0.0,usa,florida,surfing,1.0,21.0,right foot & ankle lacerated,0.0,1.8 m [6'] shark,1
1989.0,0.0,usa,california,kayaking,0.0,24.0,"fatal, thigh bitten, hands lacerated",1.0,5 m [16.5'] white shark,1
1987.0,0.0,south africa,western cape province,spearfishing,1.0,21.0,left thigh & calf lacerated,0.0,white shark,1
1987.0,0.0,usa,south carolina,unknown,1.0,12.0,6 cut to thigh,0.0,1.5 m to 1.8 m [5' to 6'] shark,1
1986.0,0.0,usa,florida,surfing,1.0,26.0,laceration to dorsum of left foot,0.0,unknown,1
1986.0,0.0,usa,california,surfing,1.0,16.0,"no injury, foot bumped",0.0,1.5 m [5'] shark,1
1984.0,0.0,usa,florida,spearfishing,1.0,29.0,"speared shark bit diver's right knee, and lacerated right thigh & buttocks provoked incident",0.0,a small shark,1
1984.0,0.0,usa,florida,swimming,1.0,24.0,left foot lacerated,0.0,unknown,1
1984.0,0.0,south africa,eastern cape province,fishing,1.0,24.0,leg lacerated by hooked shark provoked incident,0.0,"raggedtooth shark, 56-kg [123-lb]",1
1983.0,0.0,usa,florida,skindiving,1.0,14.0,hand abraded when he grabbed shark's tail provoked incident,0.0,nurse shark,1
1983.0,0.0,usa,florida,water-skiing,1.0,21.0,"left calf, knee & hands lacerated",0.0,6' shark,1
1983.0,1.0,south africa,kwazulu-natal,unknown,1.0,24.0,survived,0.0,questionable incident,1
1982.0,0.0,australia,new south wales,surfing,1.0,20.0,legs bitten  fatal,1.0,unknown,1
1982.0,0.0,new caledonia,unknown,spearfishing,1.0,24.0,arm bitten,0.0,unknown,1
1980.0,0.0,south africa,kwazulu-natal,spearfishing,1.0,29.0,"no injury, rammed & catapulted from the water by shark after he shot at it & missed provoked incident",0.0,2 m [6'9] zambesi shark,1
1980.0,1.0,greece,island of kos,surfing,1.0,24.0,knee bitten,0.0,said to involve a white shark but shark involvement not confirmed,1
1979.0,1.0,usa,florida,floating with life preserver after his boat foundered,1.0,56.0,lacerations to leg,0.0,unknown,1
1978.0,0.0,australia,tasmania,scuba diving for abalone,1.0,34.0,several broken ribs,0.0,15' shark,1
1977.0,0.0,usa,texas,collecting fish from net,1.0,25.0,lacerations to wrist,0.0,"bull shark, 4' to 5'",1
1977.0,0.0,usa,hawaii,swimming,1.0,24.0,arm bitten,0.0,1.2 m [4'] shark,1
1976.0,0.0,south africa,western cape province,fishing for white shark,0.0,24.0,"no injury to occupants. hooked shark bit boat's transom, provoked incident",0.0,"white shark, 4.8 m",1
1975.0,0.0,usa,florida,surfing,1.0,18.0,foot bitten,0.0,6' shark,1
1975.0,0.0,hong kong,mirs bay,freedom swimming,1.0,24.0,"leg bitten, surgically amputated",0.0,unknown,1
1975.0,0.0,usa,florida,surfing,1.0,16.0,"foot bitten, tendons damaged",0.0,unknown,1
1975.0,0.0,south africa,western cape province,spearfishing competition,1.0,24.0,"no injury, rammed by shark",0.0,"white shark, 600-kg [1323-lb]",1
1974.0,1.0,south africa,western cape province,fishing for kob,0.0,24.0,"no injury to occupant, shark holed boat",0.0,white shark,1
1974.0,1.0,south africa,western cape province,fishing for red fish,0.0,24.0,"no injury to occupant, but  a shark chasing a hooked fish holed his boat above the waterline",0.0,5 m white shark,1
1973.0,0.0,hong kong,unknown,freedom swimming,1.0,24.0,"one man was killed by a shark, the other was injured",0.0,unknown,1
1972.0,0.0,mexico,guerrero,body surfing,1.0,17.0,"fatal, hand severed, right leg and torso bitten",1.0,unknown,1
1972.0,0.0,australia,new south wales,unknown,0.0,24.0,provoked incident,0.0,unknown,1
1972.0,0.0,mozambique,gaza,standing,1.0,24.0,"leg severed at knee,  hand severed, arms, torso & buttock severely lacerated",0.0,"white shark, 2.5 m [8.25']",1
1970.0,0.0,micronesia,namonuito atoll,fishing,1.0,24.0,laceration to thigh,0.0,1.8 m shark,1
1969.0,0.0,australia,queensland,unknown,0.0,24.0,survived,0.0,unknown,1
1968.0,1.0,usa,florida,wading,1.0,63.0,foot severely injured,0.0,shark involvement not confirmed,1
1967.0,0.0,australia,queensland,unknown,1.0,18.0,arm lacerated,0.0,grey nurse shark,1
1967.0,1.0,south africa,kwazulu-natal,unknown,0.0,24.0,"bones and brightly colored bangles recovered  3.35 m, 145.5-kg tiger shark’s gut",0.0,shark involvement prior to death was not confirmed,1
1967.0,1.0,mexico,veracruz,the shrimper loless maurine capsized in heavy seas & the men were swimming ashore,1.0,24.0,fatal,1.0,unknown,1
1966.0,1.0,bahamas,bimini islands,diving / uw photography,1.0,24.0,"2.4 to 3 m [8' to 10'] oceanic whitetip shark  buzzed him. no attack, no injury",0.0,invalid,1
1966.0,0.0,new britain,duke of york islands,diving into water,0.0,9.0,fatal,1.0,a pack of 6 sharks,1
1966.0,0.0,usa,texas,diving for sand dollars,1.0,16.0,dorsum of right foot grazed,0.0,lemon shark or sandtiger shark,1
1966.0,0.0,south africa,eastern cape province,standing,1.0,16.0,right calf lacerated,0.0,1.5 m to 1.8 m [5' to 6'] zambesi shark,1
1965.0,0.0,australia,queensland,fishing from 34' boat when pulled overboard by hooked shark,1.0,43.0,fatal provoked incident,1.0,4.6 m [15'] shark,1
1965.0,1.0,panama,caribbean sea,argentine air force c-54,0.0,24.0,2 life preservers had been bitten by sharks,0.0,shark involvement not confirmed,1
1964.0,1.0,australia,new south wales,fishing,0.0,24.0,"no injury to occupants, shark rammed boat, bit planks & sheared off copper rivet at stern of boat",0.0,4.6 m [15'] shark,1
1964.0,1.0,usa,puerto rico,longline fishing,0.0,24.0,"no injury to occupant, shark bit propeller of outboard motor",0.0,mako shark,1
1964.0,1.0,papua new guinea,new britain,fishing,1.0,24.0,"no injury to occupant, shark lifted canoe's outrigger",0.0,2.4 m [8'] shark,1
1963.0,0.0,solomon islands,ysabel island,spearing fish,1.0,30.0,"fatal, right thigh, calf & foot bitten",1.0,5.5 m [18'] shark,1
1963.0,0.0,south africa,kwazulu-natal,swimming,1.0,15.0,buttock bitten,0.0,unknown,1
1962.0,0.0,senegal,cap vert peninsula,beach seine netting,1.0,23.0,ankle bitten,0.0,3.5 m shark,1
1962.0,1.0,new zealand,north island,fishing,0.0,24.0,unknown,0.0,unknown,1
1962.0,0.0,new zealand,south island,fishing,0.0,24.0,"no injury to occupants, hooked shark attacked boat provoked incident",0.0,said to involve a 4.9 m [16'] red shark,1
1962.0,0.0,indonesia,east flores,unknown,0.0,24.0,fatal,1.0,unknown,1
1961.0,0.0,usa,florida,scuba diving & spearfishing,1.0,23.0,"fatal, arm severed & left side of torso removed",1.0,unknown,1
1960.0,1.0,pacific ocean,180 miles southeast of okinawa,r5d aircraft went down with 29 on board,1.0,24.0,one body sighted but not recovered due to shark activity,0.0,unknown,1
1960.0,0.0,south africa,eastern cape province,fishing,1.0,24.0,gaffed shark bit his ankle provoked incident,0.0,"raggedtooth shark, 100-lb",1
1960.0,1.0,usa,hawaii,s2f-1 airplane crashed immediately after carrier take-off,0.0,24.0,"of crew of 4, only 1 person survived (broken legs but no shark bites). within 20 minutes of his rescue large sharks were in area. no remains of other 3 crew recovered, and shark involvement in their deaths is questionable.",0.0,shark involvement prior to deaths was not confirmed,1
1959.0,0.0,australia,victoria,body surfing,1.0,19.0,"thighs bitten, right hand lacerated",0.0,3.5 m [11.5'] shark,1
1958.0,0.0,south africa,western cape province,swimming,1.0,14.0,fatal,1.0,unknown,1
1958.0,0.0,south africa,kwazulu-natal,paddling in knee-deep water,0.0,28.0,fatal,1.0,3 m [10'] shark,1
1957.0,0.0,south africa,kwazulu-natal,standing,1.0,15.0,"fatal, multiple, severe injuries",1.0,unknown,1
1956.0,1.0,mid atlantic ocean,unknown,air/sea disaster,0.0,24.0,fatal x 6,1.0,unknown,1
1956.0,0.0,australia,new south wales,surf skiing,1.0,25.0,"no injury, shark bumped his 17' ski",0.0,5' to 6' shark,1
1956.0,0.0,greece,corfu island,swimming off yacht,0.0,15.0,fatal,1.0,white shark,1
1955.0,0.0,japan,izo islands,fishing,1.0,24.0,fatal,1.0,unknown,1
1954.0,1.0,croatia,zadar county,boating,0.0,24.0,no details,0.0,"white shark, 5.5 m [18']",1
1954.0,0.0,usa,california,grabbed shark & threw it on deck,1.0,35.0,right elbow & forearm lacerated  provoked incident,0.0,unknown,1
1953.0,1.0,usa,georgia,aircaft exploded,1.0,24.0,hand bitten,0.0,unknown,1
1953.0,0.0,papua new guinea,bougainville (north solomons),washing,1.0,24.0,"fatal, torso bitten",1.0,unknown,1
1952.0,0.0,australia,new south wales,surfing,1.0,24.0,bitten on left calf and ankle,0.0,8' shark,1
1952.0,0.0,papua new guinea,"admiralty islands, manus province",spearfishing,1.0,24.0,"fatal,  no remains",1.0,attacked by a number of sharks,1
1951.0,0.0,south africa,kwazulu-natal,swimming,1.0,19.0,"fatal, right thigh bitten, leg severed at knee",1.0,unknown,1
1950.0,0.0,usa,california,body surfing / treading water,1.0,31.0,right leg lacerated,0.0,white shark,1
1950.0,0.0,usa,new york,swimming,1.0,16.0,"gashes & lacerations on legs, foot lacerated.",0.0,sand shark,1
1950.0,1.0,usa,florida,survived crash of two-engine  c-46 transport plane carrying 62 migrant workers from puerto rico to usa,1.0,25.0,"fatal, bitten five times. other survivors fought off sharks for 10 hours. one survivor's arm severed by a shark.",1.0,unknown,1
1948.0,0.0,iran,shatt-al-arab river,"fishing, shark caught in his net",1.0,38.0,8 x 4 left antecubital fossa of muscle & skin removed  provoked incident,0.0,unknown,1
1947.0,1.0,south africa,kwazulu-natal,unknown,0.0,24.0,"human remains, possibly one of the crew of the wrecked fishing boat john bull. found in 277-kg tiger shark.",0.0,shark involvement prior to death not confirmed,1
1946.0,0.0,australia,queensland,unknown,1.0,12.0,ankle bitten,0.0,small shark,1
1944.0,1.0,philippines,bernardino strait near gulf of leyte,uss hoel dd 533 sunk on 10/24/1944 in the battle off samar. 2 crewmen were swimmng alongside a floater net &,1.0,24.0,"fatal, both were killed by sharks",1.0,unknown,1
1944.0,1.0,north pacific ocean,unknown,unknown,1.0,24.0,when picked up by the uss boyd dd 44 on 6/23/1944 his raft was surrounded by sharks,0.0,invalid,1
1943.0,0.0,usa,hawaii,spearfishing,1.0,24.0,calf nipped in each case,0.0,small sharks,1
1942.0,1.0,solomon islands,unknown,thrown from destroyer when shell hit,1.0,19.0,hip bitten,0.0,unknown,1
1940.0,0.0,usa,south carolina,standing,1.0,24.0,ankle bitten,0.0,unknown,1
1940.0,0.0,australia,new south wales,swimming,1.0,13.0,"fatal, left leg severed",1.0,3 m [10'] shark,1
1938.0,0.0,india,west bengal,bathing,0.0,24.0,"2 survived,       1 fatal",1.0,unknown,1
