Year,Type,Country,Area,Activity,Age,Injury,Fatal (Y/N),Time,outlier
2008.0,1.0,AUSTRALIA,Queensland,Surfing,19.0,2 puncture wounds to leg,0.0,11.0,1
2007.0,0.0,AUSTRALIA,New South Wales,Surfing,24.0,"No injury, teethmarks in board & torn wetsuit",0.0,14.0,1
2007.0,0.0,USA,South Carolina,Wading,24.0,Lacerations to lower leg,0.0,17.0,1
2007.0,0.0,USA,Virginia,Reviving a sedated shark,40.0,Left shin bitten by captive shark PROVOKED INCIDENT,0.0,9.0,1
2007.0,0.0,AUSTRALIA,Western Australia,Wading,38.0,Left heel & calf bitten,0.0,14.0,1
2006.0,0.0,USA,Florida,Swimming,13.0,Right calf bitten,0.0,13.0,1
2006.0,0.0,USA,Florida,Spearfishing,35.0,Minor injuries,0.0,14.0,1
2005.0,0.0,USA,California,Surfing,26.0,"No injury, board bumped",0.0,7.0,1
2005.0,0.0,SOUTH AFRICA,Western Cape Province,Standing / Surfing,20.0,Right foot bitten,0.0,9.0,1
2005.0,0.0,AUSTRALIA,South Australia,Surfing,40.0,Lacerations to right arm & thigh,0.0,15.0,1
2005.0,1.0,Seychelles,Inner Islands,Fishing,24.0,"FATAL, shark involvement prior to death is unconfirmed",0.0,14.0,1
2005.0,1.0,USA,Hawaii,Swimming,49.0,"No injury, 2.1m [7'] tiger shark approached swimmer who repelled it with his fist",0.0,8.0,1
2004.0,0.0,USA,North Carolina,Swimming,13.0,Right forearm & wrist lacerated,0.0,17.0,1
2004.0,0.0,USA,Hawaii,Surfing,57.0,FATAL Severe wound to right thigh & calf,1.0,7.0,1
2003.0,0.0,USA,Florida,Surfing,35.0,Severe abrasion to left lateral calf,0.0,15.0,1
2003.0,0.0,AUSTRALIA,New South Wales,Standing,24.0,Minor lacerations to leg & foot,0.0,14.0,1
2003.0,1.0,USA,Hawaii,Snorkeling,56.0,Left forearm lacerated,0.0,12.0,1
2003.0,0.0,USA,Florida,Surfing,18.0,5 to 6 lacerations on right foot & ankle,0.0,14.0,1
2003.0,0.0,AUSTRALIA,Queensland,Swimming,84.0,FATAL,1.0,9.0,1
2002.0,0.0,AUSTRALIA,Queensland,Swimming,23.0,FATAL,1.0,2.0,-1
2002.0,0.0,USA,Florida,Boogie boarding,16.0,Puncture wounds on right foot,0.0,13.0,1
2002.0,0.0,USA,Hawaii,Swimming,60.0,Left foot bitten,0.0,11.0,1
2002.0,0.0,USA,Florida,"Wading, when he stepped on the shark",36.0,2 small puncture wounds on left foot PROVOKED INCIDENT,0.0,17.0,1
2002.0,0.0,USA,Florida,Standing,15.0,Ankle & leg lacerated,0.0,12.0,1
2002.0,0.0,USA,Florida,Surfing,19.0,2 small lacerations on left lower leg when he jumped off board and landed on the shark PROVOKED INCIDENT,0.0,18.0,1
2002.0,0.0,PAPUA NEW GUINEA,Milne Bay Province,Collecting beche-de-mer,14.0,Wrist lacerated,0.0,14.0,1
2002.0,0.0,SOUTH AFRICA,KwaZulu-Natal,Fishing,16.0,Leg bitten & surgically amputated,0.0,2.0,-1
2001.0,0.0,USA,North Carolina,Swimming,28.0,FATAL,1.0,18.0,1
2001.0,0.0,USA,Florida,Surfing,21.0,Small cuts on big & pinky toes of left foot,0.0,16.0,1
2000.0,0.0,USA,Hawaii,Swimming / snorkeling,56.0,Right side of back / torso lacerated,0.0,11.0,1
2000.0,0.0,USA,North Carolina,Surfing,16.0,Foot lacerated,0.0,14.0,1
2000.0,0.0,USA,Alabama,Swimming,44.0,Right forearm severed surgically amputated above elbow,0.0,6.0,-1
1999.0,0.0,USA,Florida,Surfing,17.0,Small lacerations to right foot,0.0,18.0,1
1999.0,0.0,SOUTH AFRICA,Eastern Cape Province,Surfing,29.0,Leg & board bitten,0.0,9.0,1
1999.0,0.0,USA,Hawaii,Body surfing or body boarding,18.0,Bruised right leg,0.0,14.0,1
1998.0,0.0,SOUTH AFRICA,Eastern Cape Province,Body boarding,16.0,Leg bitten,0.0,15.0,1
1997.0,0.0,USA,Florida,Surfing,17.0,2 small lacerations to bottom of foot,0.0,18.0,1
1997.0,0.0,USA,Florida,Surfing,18.0,Lacerations on right ankle & heel,0.0,13.0,1
1997.0,0.0,USA,Florida,Surfing,34.0,Left elbow bitten,0.0,11.0,1
1997.0,0.0,AUSTRALIA,Queensland,Snorkeling,27.0,"Left leg lacerated, punctures to right leg",0.0,11.0,1
1996.0,0.0,AUSTRALIA,Queensland,Surfing,18.0,,0.0,18.0,1
1996.0,0.0,OKINAWA,Miyako,Swimming,52.0,"FATAL, torso & abdomen bitten,  forearm severedL",1.0,14.0,1
1994.0,0.0,USA,Oregon,Surfing,43.0,"No injury, surfboard bitten",0.0,16.0,1
1994.0,0.0,CHILE,,Swimming alongside NOAA research vessel Discoverer,19.0,Leg severed mid-thigh,0.0,11.0,1
1993.0,0.0,HONG KONG,New Territories,Swimming,61.0,FATAL,1.0,7.0,1
1992.0,0.0,SOUTH AFRICA,Eastern Cape Province,Surfing,35.0,Punctures & lacerations on lower leg,0.0,13.0,1
1992.0,0.0,SOUTH AFRICA,KwaZulu-Natal,Swimming,19.0,Right foot lacerated,0.0,17.0,1
1991.0,0.0,USA,Hawaii,Snorkeling,24.0,Right calf abraded,0.0,9.0,1
1991.0,0.0,USA,Virginia,Boogie boarding,13.0,Severe laceration to foot,0.0,14.0,1
1989.0,0.0,SOUTH AFRICA,Eastern Cape Province,Surfing,34.0,Torso bitten,0.0,10.0,1
1989.0,1.0,AUSTRALIA,Western Australia,Kayaking,24.0,"No injury, but the kayak was bitten by the shark",0.0,14.0,1
1988.0,0.0,USA,North Carolina,Scuba diving,42.0,Survived,0.0,14.0,1
1988.0,0.0,USA,Florida,Surfing,31.0,Left foot bitten,0.0,18.0,1
1988.0,1.0,AUSTRALIA,Western Australia,Drift fishing,24.0,"No injury to occupants; shark leapt into boat, almost capsizing it and destroyed the inside of the boat",0.0,14.0,1
1987.0,0.0,USA,Florida,Surfing,16.0,Left calf bitten,0.0,13.0,1
1986.0,0.0,USA,Florida,Surfing,18.0,Hand bitten,0.0,14.0,1
1984.0,0.0,USA,Florida,Surfing,17.0,Right foot bitten,0.0,14.0,1
1984.0,0.0,INDONESIA,,"Sea disaster, foundering of the cargo vessle M/V Dorolonda",24.0,FATAL,1.0,14.0,1
1984.0,0.0,USA,Texas,Swimming,13.0,Lacerations on right foot,0.0,14.0,1
1984.0,0.0,SOUTH AFRICA,Western Cape Province,Spearfishing,28.0,Swim fin bitten,0.0,13.0,1
1983.0,0.0,BAHAMAS,,,30.0,Lacerations to hand & foot,0.0,11.0,1
1982.0,0.0,USA,Hawaii,"Sailboarding, fell into water 100 yards outside the breakwater",24.0,Thigh bitten 3 times,0.0,14.0,1
1981.0,0.0,USA,Florida,Spearfishing,19.0,"Shot shark, then it bit him. Puncture wounds on leg  PROVOKED INCIDENT",0.0,14.0,1
1981.0,0.0,USA,Florida,Spearfishing,24.0,Left foot & ankle lacerated,0.0,18.0,1
1980.0,0.0,BRAZIL,Pernambuco,Swimming,16.0,FATAL,1.0,14.0,1
1979.0,0.0,THAILAND,Southern Thailand,Murdered by Thai pirates,24.0,FATAL,1.0,14.0,1
1979.0,1.0,SOUTH AFRICA,Western Cape Province,,24.0,No Injury,0.0,14.0,1
1978.0,0.0,USA,Florida,Surfing,20.0,Foot bitten,0.0,14.0,1
1978.0,0.0,SOUTH AFRICA,Western Cape Province,Fishing for mackerel,24.0,"Shark jumped in boat, but no injury to occupants",0.0,3.0,-1
1977.0,0.0,SOUTH AFRICA,Eastern Cape Province,Surfing,18.0,"Both legs bitten, 2 days later gangrene necessitated surgical amputation of left leg at mid-thigh",0.0,10.0,1
1977.0,0.0,AUSTRALIA,New South Wales,"Pushed surfmat of a young girl out of the shark's path, drawing shark's attention to his own board",24.0,"Left hand, arm & leg lacerated, & shark bit chunk out of his surfboard",0.0,14.0,1
1976.0,0.0,USA,Florida,Surfing,19.0,Right arm severed 1 below elbow with extensive tissue loss 3 above elbow,0.0,10.0,1
1976.0,1.0,SOUTH AFRICA,Western Cape Province,Competing in a light tackle game fishing,24.0,"Shark following hooked fish, rammed & holed boat",0.0,14.0,1
1974.0,0.0,SOUTH AFRICA,KwaZulu-Natal,Surfing,17.0,Right foot lacerated,0.0,16.0,1
1972.0,0.0,USA,California,Surfing,24.0,Legs & board bitten,0.0,10.0,1
1972.0,0.0,AUSTRALIA,Queensland,,24.0,FATAL,1.0,14.0,1
1971.0,0.0,USA,California,Scuba diving,30.0,Bitten on legs,0.0,14.0,1
1971.0,0.0,USA,California,Free diving,24.0,"Minor injury, arc of tooth impressions in wetsuit",0.0,14.0,1
1971.0,0.0,IRAN,Khuzestan Province,,24.0,Survived,0.0,14.0,1
1968.0,0.0,ENGLAND,,,24.0,Arm severely lacerated,0.0,14.0,1
1968.0,0.0,NEW ZEALAND,North Island,Picking up shark by the tail,24.0,Wrist bitten PROVOKED INCIDENT,0.0,14.0,1
1968.0,1.0,USA,Florida,Surfing,24.0,,0.0,17.0,1
1967.0,1.0,PAPUA NEW GUINEA,Central Province,Spearfishing,32.0,No injury,0.0,14.0,1
1967.0,1.0,PHILIPPINES,Rombion Province,Sinking of the M/V Mindoro during a typhoon,24.0,Passengers taken by sharks,1.0,14.0,1
1967.0,0.0,ITALY,Sicily,Fishing boat,24.0,"No injury to occupants,  harpooned shark sank boat PROVOKED INCIDENT",0.0,14.0,1
1967.0,0.0,NEW ZEALAND,South Island,Lifesaving drill,21.0,"FATAL, seen taken by a shark",1.0,19.0,1
1967.0,0.0,SOUTH AFRICA,Western Cape Province,Spearfishing Competition,24.0,"No injury, shark bit support boat, removing pieces of wood after Gerricke shot it  PROVOKED INCIDENT",0.0,14.0,1
1966.0,0.0,THAILAND,,,28.0,No details,0.0,14.0,1
1965.0,0.0,JAMAICA,,Diving,24.0,Minor injury,0.0,14.0,1
1964.0,0.0,AUSTRALIA,Victoria,Free diving with seals,25.0,Left leg severed,0.0,14.0,1
1964.0,1.0,,,Spearfishing,24.0,"Disappeared, probable drowning but sharks in area led to speculation that he was taken by a shark",0.0,11.0,1
1963.0,1.0,JAMAICA,,63' fishing boat Sno' Bay foundered,24.0,No survivors & a body sighted could not be recovered because of sharks,1.0,14.0,1
1963.0,0.0,PANAMA,San Blas coast,"Seining for bait, standing in chest-deep water",24.0,"FATAL, foot nearly severed",1.0,14.0,1
1962.0,1.0,USA,California,25-foot cabin cruiser Happy Jack sank in heavy seas,24.0,Bodies of 5 of the 6 men on board were bitten by by sharks. Sharks may have contributed to the death of some of them.,1.0,3.0,-1
1961.0,0.0,SOUTH AFRICA,KwaZulu-Natal,Treading water,18.0,Lower right leg & ankle bitten,0.0,16.0,1
1961.0,1.0,AUSTRALIA,South Australia,"Fishing, hauling in a 5-lb snapper",24.0,No injury to occupant; shark leapt into boat,0.0,14.0,1
1961.0,1.0,AUSTRALIA,Western Australia,Attaching a line at sea,24.0,Shark involvement prior to death unconfirmed,0.0,14.0,1
1961.0,1.0,USA,Florida,Splashing,10.0,Abdomen abraded,0.0,15.0,1
1961.0,0.0,AUSTRALIA,Northern Territory,Fishing,24.0,Finger bitten by hooked shark PROVOKED INCIDENT,0.0,14.0,1
1960.0,0.0,BERMUDA,Paget,Free diving but treading water at surface,25.0,Foot bitten,0.0,15.0,1
1960.0,0.0,MOZAMBIQUE,Gaza,Swimming,5.0,FATAL,1.0,14.0,1
1959.0,0.0,AUSTRALIA,Queensland,Trailing the field in a surf race,19.0,"Lower left leg bittten, hand abraded",0.0,11.0,1
1959.0,0.0,CROATIA,Istria,Fishing,24.0,Laceration to arm PROVOKED INCIDENT,0.0,14.0,1
1959.0,0.0,AUSTRALIA,Tasmania,Swimming with motor tube,16.0,Thigh bitten,0.0,14.0,1
1959.0,0.0,ATLANTIC OCEAN,,Paddling & sailing from Buenos Aires to Miami,24.0,Hooked shark bit his arm PROVOKED INCIDENT,0.0,14.0,1
1957.0,0.0,USA,North Carolina,Swimming,57.0,"FATAL, knee bitten",1.0,12.0,1
1957.0,0.0,SOLOMON ISLANDS,,Fishing,24.0,Legs nipped & he bit shark's snout,0.0,14.0,1
1957.0,0.0,USA,Florida,Helmet diving in Miami Seaquarium,24.0,"Shark struck helmet, no injury",0.0,14.0,1
1956.0,0.0,CUBA,,"Free diving, working on U/W scenes for motion picture",30.0,FATAL,1.0,14.0,1
1956.0,0.0,AUSTRALIA,Western Australia,Attempting to set underwater endurance record,21.0,"No injury to diver, but shark bit hole in his wetsuit",0.0,14.0,1
1956.0,0.0,AUSTRALIA,Torres Strait,Diving for trochus,18.0,Lacerations to thighs,0.0,14.0,1
1955.0,0.0,PAPUA NEW GUINEA,"Admiralty Islands, Manus Province",Spearfishing,24.0,Right arm severely bitten,0.0,14.0,1
1955.0,0.0,AUSTRALIA,Queensland,Spearfishing & lassoed shark,28.0,Lassoed shark bit his hand PROVOKED INCIDENT,0.0,14.0,1
1955.0,0.0,PAPUA NEW GUINEA,"Admiralty Islands, Manus Province",Spearfishing,24.0,"Right forearm severely lacerated, left arm & hand lacerated",0.0,14.0,1
1955.0,0.0,AUSTRALIA,New South Wales,Hunting lobsters in 2.4 m of water,13.0,"FATAL, anterior left leg & right calf bitten, no tissue lost",1.0,14.0,1
1954.0,0.0,AUSTRALIA,Torres Strait,"Spearfishing, hunting crayfish",35.0,"FATAL, after being bitten by shark, he was picked up by 85' trochus vessel Toorah that wrecked. His wounds reopened & he died",1.0,14.0,1
1954.0,0.0,USA,New Jersey,Surf fishing,24.0,Right leg bitten when chasing shark from his fishing line PROVOKED INCIDENT,0.0,14.0,1
1954.0,0.0,ECUADOR,Galapagos Islands,"Tuna fishing, standing on stern platform that was submerged by waves",34.0,4 lacerations on dorsum of right foot,0.0,14.0,1
1954.0,0.0,SUDAN?,Red Sea,Spearfishing,24.0,"Speared small shark, shark bit his thigh and/or buttock PROVOKED INCIDENT",0.0,14.0,1
1954.0,0.0,IRAN,Karun River,,24.0,Survived,0.0,14.0,1
1953.0,1.0,AUSTRALIA,Tasmania,Fishing,24.0,"No injury to occupant, shark charged boat",0.0,15.0,1
1952.0,0.0,SUDAN,Red Sea State,Spearfishing,24.0,Right forearm lacerated by speared shark PROVOKED INCIDENT,0.0,14.0,1
1951.0,0.0,AUSTRALIA,Queensland,"Body found on deserted luxury yacht, 38’ Christine",56.0,"FATAL, abdominal wounds & right leg severed at the hip",1.0,14.0,1
1951.0,0.0,ITALY,Taranto,Diving (Hookah),24.0,No injury,0.0,14.0,1
1951.0,0.0,MEXICO,,Free diving,16.0,Lower leg severely injured,0.0,15.0,1
1951.0,0.0,ITALY,Naples Province,,24.0,3 men knocked to ground by harpooned shark PROVOKED INCIDENT,0.0,14.0,1
1950.0,0.0,AUSTRALIA,Northern Territory,Diving,17.0,Minor injury to hand and groin from shark caught on his fishing spear PROVOKED INCIDENT,0.0,14.0,1
1950.0,0.0,SOUTH AFRICA,Eastern Cape Province,"Fishing, sitting in stern of small boat, feet dangling in the water",24.0,"Shark bit foot, removing 2 toes",0.0,14.0,1
1949.0,1.0,CHINA,,"A 75-ton  Japanese fishing ship was sunk by  Chinese Nationalist gunboat, shipwrecked men were clinging to debris",24.0,"FATAL, at time of sinking several men were thrown in water & killed by sharks, survivors were rescued 3 days later by the Panamanian ship Christobel",1.0,14.0,1
1947.0,0.0,SOUTH AFRICA,KwaZulu-Natal,Body surfing,14.0,"Thigh severely lacerated, shin & calf lacerated",0.0,17.0,1
1946.0,0.0,AUSTRALIA,New South Wales,Swimming,15.0,Left leg lacerated,0.0,14.0,1
1945.0,0.0,AUSTRALIA,Queensland,Swimming,24.0,FATAL,1.0,16.0,1
1944.0,0.0,SOUTH AFRICA,KwaZulu-Natal,Standing,23.0,"FATAL, left thigh & calf bitten",1.0,10.0,1
1943.0,1.0,PACIFIC OCEAN,Near the Fiji Islands,The 6711-ton American freighter & troop transport Cape San Juan was torpedoed by the Japanese submarine I-21,24.0,"Of the 1,429 people on board, only 448 survived. Sharks were attacking survivors as they were being rescued",1.0,14.0,1
1943.0,1.0,PACIFIC OCEAN,Northwest of Papua New Guinea,The USS Wahoo torpedoes & sank the Japanese troop transport Buyo Maru,24.0,FATAL,1.0,14.0,1
1940.0,0.0,SOUTH AFRICA,KwaZulu-Natal,Swimming,17.0,"FATAL, left thigh & knee bitten",1.0,16.0,1
1939.0,0.0,AUSTRALIA,New South Wales,,24.0,Boat bitten by gaffed shark PROVOKED INCIDENT,0.0,14.0,1
1937.0,0.0,AUSTRALIA,Northern Territory,Pearl diving,24.0,FATAL,1.0,14.0,1
1935.0,0.0,PAPUA NEW GUINEA,Northern (Oro) Province,,24.0,"Samoan missionary, Filemani, caught an 8'6 shark after it had killed 1 man & 2 boys in space of few weeks",0.0,14.0,1
1935.0,0.0,SOUTH AFRICA,KwaZulu-Natal,Put foot inside a landed & supposedly dead shark,24.0,"Foot bitten, required 1 week hospitalization PROVOKED INCIDENT",0.0,14.0,1
1933.0,0.0,USA,South Carolina,Bathing,24.0,Right heel & ankle bitten,0.0,14.0,1
1933.0,0.0,AUSTRALIA,New South Wales,Standing on his hands,24.0,Abrasions to legs,0.0,14.0,1
1931.0,0.0,,French Southern Territories,"Fishing, boat capsized",24.0,FATAL,1.0,14.0,1
1929.0,0.0,AUSTRALIA,Queensland,Diving for trochus,24.0,Lacerations to right wrist,0.0,14.0,1
1928.0,1.0,INDIA,,,24.0,"No injury to occupants, shark bit keel",0.0,14.0,1
1928.0,0.0,COSTA RICA,Near Puntarenas,Swimming,24.0,Right leg severely lacerated. Surgically amputated,0.0,14.0,1
1923.0,0.0,AUSTRALIA,Queensland,Diving for pearl,24.0,non-fatal,0.0,14.0,1
1923.0,1.0,MEXICO,Vera Cruz,Dismantling cable buoys of the cable ship All America,24.0,"No injury to occupants, shark rammed boat",0.0,14.0,1
1923.0,0.0,USA,New Jersey,Hoisting shark aboard fishing boat,24.0,Shark's tail broke his leg. PROVOKED INCIDENT,0.0,14.0,1
1922.0,0.0,AUSTRALIA,New South Wales,Swimming,18.0,"FATAL, both arms & shoulder bitten",1.0,15.0,1
1921.0,0.0,AUSTRALIA,Torres Strait,,24.0,Lacerations to arm,0.0,14.0,1
1920.0,1.0,PHILIPPINES,Leyte,The coastwise steamer San Basilio capsized in a typhoon,24.0,FATAL,1.0,14.0,1
1920.0,0.0,AUSTRALIA,Torres Strait,Diving for trochus shell,24.0,Severe lacerations to right shoulder & arm,0.0,14.0,1
1917.0,0.0,AUSTRALIA,Western Australia,Swimming,24.0,Lacerations to left leg,0.0,5.0,-1
1914.0,0.0,AUSTRALIA,Queensland,Swimming,24.0,Lacerations to right thigh and knee,0.0,14.0,1
1914.0,1.0,NEW CALEDONIA,South Province,Swimming ashore from swamped 13-ft boat,24.0,FATAL x 2,1.0,14.0,1
1909.0,1.0,AUSTRALIA,Queensland,"1446-ton Norwegian barque Errol, bound from Peru to Newcastle with 22 on board wrecked. Survivors shelterd on the wreck of the Annasona. Subsequently the Master, his wife & 4 children perished along with several crew. Survivors (5) were rescued 7/12/1909",24.0,"FATAL, only his legs, still in sea-boots, were recovered",1.0,14.0,1
1906.0,0.0,USA,Hawaii,Swimming,24.0,FATAL,1.0,14.0,1
1902.0,0.0,NICARAGUA,Rio San Juan,Swimming,30.0,FATAL,1.0,18.0,1
1898.0,0.0,USA,Florida,Bathing,24.0,Cut up very badly,0.0,18.0,1
1897.0,0.0,,Mediterranean Sea,Swimming,24.0,FATAL,1.0,14.0,1
1894.0,0.0,AUSTRALIA,New South Wales,Bathing,19.0,Lost his arm,0.0,9.0,-1
1894.0,0.0,USA,Alabama,Swimming,24.0,FATAL,1.0,14.0,1
1894.0,0.0,FIJI,Vita Levu,Dangling feet in the water,24.0,Foot severed,0.0,14.0,1
1891.0,0.0,MARTINIQUE,,Attempting to rescue shipmate,24.0,Injured,0.0,14.0,1
1887.0,0.0,ITALY,,Swimming,24.0,Leg injured,0.0,14.0,1
1886.0,0.0,SOUTH AFRICA,Western Cape Province,Swimming,24.0,FATAL. Partial remains washed ashore the next day,1.0,14.0,1
1884.0,1.0,USA,New York,Clamming,24.0,Unclear if he sustained any injury from the 7' shark,0.0,14.0,1
1883.0,0.0,USA,Florida,Fell overboard,24.0,FATAL,1.0,14.0,1
1882.0,0.0,AUSTRALIA,,Pearl diving,24.0,FATAL                       Thigh bitten,1.0,14.0,1
1878.0,1.0,SOUTH ATLANTIC OCEAN,Off the coast of West Africa,Boat with 5 men capsized while returning to the Amerique,24.0,Du Val's leg was bitten but he survived,0.0,14.0,1
1878.0,0.0,AUSTRALIA,New South Wales,Bathing in 2 feet of water,11.0,"FATAL, leg severed",1.0,14.0,-1
1877.0,0.0,AUSTRALIA,Victoria,Swimming,24.0,Ankle injured,0.0,14.0,1
1876.0,0.0,USA,New York,Fishing,24.0,FATAL,1.0,14.0,1
1876.0,0.0,LEBANON,Mount Lebanon,Sponge diving,24.0,FATAL,1.0,14.0,1
1874.0,0.0,AUSTRALIA,Queensland,Bathing,24.0,Thigh bitten,0.0,14.0,1
1873.0,0.0,USA,Maryland,Fishing (Seining),24.0,Leg severely bitten by netted shark. Lower leg surgically amputated PROVOKED INCIDENT,0.0,14.0,1
1870.0,1.0,AUSTRALIA,Tasmania,Canoeing,24.0,Shark bit canoe in half & bit man. Note: There is an earlier story of FATAL shark attack in same river,0.0,14.0,1
1865.0,1.0,AUSTRALIA,South Australia,Boarding a ship,24.0,"No injury to pilot, oar bitten",0.0,14.0,1
1863.0,0.0,ANDAMAN ISLANDS,,Fell overboard,24.0,FATAL,1.0,10.0,-1
1858.0,0.0,TOBAGO,,Bathing,24.0,"Leg bitten, surgically amputated",0.0,14.0,-1
1853.0,0.0,USA,Florida,Knocked overboard,24.0,FATAL,1.0,14.0,-1
1852.0,1.0,ATLANTIC OCEAN,,,1.0,Death preceded shark involvement,0.0,14.0,-1
1830.0,0.0,,,,24.0,FATAL,1.0,22.0,-1
1803.0,0.0,AUSTRALIA,Western Australia,,24.0,Shark knocked him down & tore clothing of the rescuer,0.0,14.0,-1
2023.0,0.0,BRAZIL,Pernambuco,Surfing,32.0,Injuries to left thih and calf,0.0,16.0,1
2023.0,0.0,NEW CALEDONIA,South Province,Swimming,49.0,"Hands, back and thigh inujured",0.0,10.0,1
2022.0,0.0,AUSTRALIA,Westerm Australia,Spearfishing,17.0,Lacerations to lower legs,0.0,14.0,1
2022.0,0.0,JAMAICA,,Fishing,24.0,Right arm severed,0.0,15.0,1
2022.0,0.0,BELIZE,Ambergris Cay,Spearfishing,24.0,Right hand and forearm bitten PROVOKED INCIDENT,0.0,14.0,1
2022.0,0.0,FRENCH POLYNESIA,Bora Bora,,24.0,Hand bitten,0.0,14.0,1
2021.0,0.0,USA,Florida,Wing Foil Surfing,42.0,Punctures to leg,0.0,14.0,1
2021.0,0.0,USA,Florida,Standing,12.0,Right calf bitten,0.0,14.0,1
2021.0,0.0,FRENCH POLYNESIA,Tahiti,Canoeing,25.0,"No injury, canoe bitten",0.0,8.0,1
2021.0,0.0,AUSTRALIA,Victoria,Swimming,7.0,Injury to leg,0.0,17.0,1
2020.0,1.0,USA,North Carolina,Surfing,24.0,Laceration to knee and foot,0.0,14.0,1
2020.0,0.0,USA,Florida,Surfing,24.0,Foot bitten,0.0,10.0,1
2020.0,0.0,NEW ZEALAND,North Island,Kayak fishing,24.0,"PROVOKED INCIDENT No injury, shark nudged kayak repeatedly",0.0,14.0,1
2019.0,0.0,USA,Florida,Surfing,30.0,Lacerations to left foot,0.0,14.0,1
2019.0,0.0,BAHAMAS,,Snorkeling,50.0,Injuries to left lower leg,0.0,14.0,1
2019.0,0.0,AUSTRALIA,Northern Territory,Spearfishing,25.0,Right forearm bitten,0.0,14.0,1
2018.0,0.0,SOUTH AFRICA,KwaZulu-Natal,Fishing,41.0,Surf-ski bitten but no injury to occupant,0.0,9.0,1
2018.0,0.0,USA,Florida,Surfing,39.0,Ankle bitten,0.0,13.0,1
2018.0,2.0,AUSTRALIA,New South Wales,Surfing,24.0,No injury,0.0,7.0,1
2018.0,0.0,AUSTRALIA,Western Australia,Surfing,24.0,"No injury, shark struck his leg",0.0,15.0,1
2018.0,0.0,THAILAND,Hua Hin,Swimming,54.0,Lacerations to foot and ankle,0.0,14.0,1
2018.0,0.0,BRAZIL,Pernambuco,Swimming,34.0,"Multiple severe injuries to arms and leg, leg subsequently surgically amputated",0.0,14.0,1
2018.0,0.0,AUSTRALIA,Western Australia,,18.0,Injuries to right leg,0.0,8.0,1
2017.0,1.0,SOUTH AFRICA,KwaZulu-Natal,Scuba Diving,68.0,"Fatal, coroner unable to determine if the diver was alive or had drowned when incident took place.",0.0,14.0,1
2016.0,0.0,FRENCH POLYNESIA,Tuamotos,Fishing,24.0,Hand injured?,0.0,14.0,1
2016.0,0.0,AUSTRALIA,Queensland,Walking,45.0,Foot nipped,0.0,13.0,1
2015.0,0.0,SOUTH AFRICA,Western Cape Province,Surfing,23.0,Multiple lacerations to torso & leg,0.0,16.0,1
2015.0,0.0,EGYPT,Red Sea Protectorate,Swimming,52.0,FATAL,1.0,14.0,1
2015.0,0.0,USA,Hawaii,Standing / Snorkeling,58.0,Lacerations to left forearm. Lacerations to left hand and thigh,0.0,11.0,1
2014.0,0.0,AUSTRALIA,New South Wales,Surfing,24.0,Lacerations to both feet,0.0,9.0,1
2014.0,0.0,MAURITIUS,Cargados Carajos Shoals (St. Brandon),Fishing,39.0,"FATAL, arm bitten by shark hauled on deck             PROVOKED INCIDENT",1.0,14.0,1
2014.0,1.0,USA,California,Kayaking,24.0,"No injury to occupant, shark/s holded  kayak",0.0,11.0,1
2014.0,0.0,FRANCE,Wallis and Futuna,Scuba diving,24.0,Lacerations to left thigh and hip,0.0,9.0,1
2014.0,1.0,JAPAN,Okinawa Prefecture,Sea disaster,31.0,5 cm bite to left foot,0.0,14.0,1
2014.0,0.0,USA,Hawaii,Free diving / Photographing pilot whales,24.0,Minor laceration to shoulder,0.0,14.0,1
2012.0,1.0,USA,South Carolina,Standing,16.0,"Laceration to foot. Injured by a stingray, not a shark",0.0,14.0,1
2012.0,0.0,USA,South Carolina,Swimming,18.0,Foot & hand bitten,0.0,15.0,1
2012.0,0.0,USA,North Carolina,Wading,33.0,Foot bitten,0.0,13.0,1
2012.0,1.0,SOUTH AFRICA,Western Cape Province,Fishing,24.0,"No injury to occupants, boat damaged",0.0,14.0,1
2011.0,0.0,SCOTLAND,Moray,Surfing,26.0,"No injury, shark bumped leg & board.",0.0,14.0,1
2011.0,1.0,USA,Hawaii,Canoeing,24.0,"No injury, canoe bitten by shark",0.0,15.0,1
2011.0,0.0,FIJI,,Diving / fishing,30.0,"Left forearm severely bitten, surgically amputated",0.0,16.0,1
2010.0,0.0,USA,South Carolina,Boogie Boarding,6.0,Laceration to leg,0.0,14.0,1
2009.0,0.0,USA,California,Surfing,24.0,"3 puncture wounds to big toe of left foot, and laceration on arch of foot",0.0,17.0,1
2009.0,0.0,SOLOMON ISLANDS,Makira-Ulawa Province,Fishing,24.0,Injuries to face & neck PROVOKED INCIDENT,0.0,14.0,1
2009.0,0.0,AUSTRALIA,New South Wales,"Diving, but on the surface when bitten by the shark",31.0,Severe injuries to right hand & right thigh. Right hand  surgically amputated & his right leg a week later,0.0,14.0,1
2009.0,0.0,AUSTRALIA,Tasmania,Surfing,13.0,Severe lacerations to right leg,0.0,15.0,1
2008.0,0.0,MEXICO,Cabo San Lucas,Swimming,33.0,3 puncture wounds to toe,0.0,14.0,1
2008.0,0.0,USA,Florida,Surfing,17.0,Right foot bitten,0.0,9.0,1
2008.0,0.0,USA,Florida,Surfing,14.0,Cuts & punctures to right foot,0.0,8.0,1
2008.0,0.0,USA,Florida,Surfing,52.0,Foot bitten,0.0,18.0,1
